year,japanese,english,publisher,image,product_type
2000,ヴァンパイア:ザ・マスカレード,Vampire: The Masquerade,Atelier Third,vampire_the_masquerade.jpg,rulebook
2000,ガイド・トゥ・カマリリャ,Guide to the Camarilla,Atelier Third,camarilla.jpg,supplement
2001,ワーウルフ：ジ・アポカリプス,Werewolf the Apocalypse,Atelier Third,werewolf_the_apocalypse.jpg,rulebook
2002,ガイド・トゥ・サバト,Guide to the Sabbat,Atelier Third,sabbat.jpg,supplement
2002,ヴァンパイア・ストーリーテラー・コンパニオン,Vampire Storytellers Companion,Atelier Third,storytellers_companion.jpg,supplement
2002,メイジ : ジ・アセンション,Mage the Ascension,Atelier Third,mage_the_ascension.jpg,rulebook
2003,ワーウルフ・ストーリーテラー・コンパニオン,Werewolf Storyteller's Companion,Atelier Third,werewolf_storytellers_companion.jpg,supplement
2004,ノド書,The Book of Nod,Atelier Third,the_book_of_nod.jpg,supplement
2005,ヴィクトリアン・エイジ・ヴァンパイア,Victorian Age Vampire,Atelier Third,victorian_age_vampire.jpg,supplement
