year,japanese,english,publisher,image,product_type,product_code
,デーモン・マギック,Demon Magic,Hobby Japan,demon_magic.jpg,supplement,149-2
1988,ストームブリンガー,Stormbringer,Hobby Japan,stormbringer.jpg,box set,149
,ストームブリンガー・コンパニオン,Stormbringer Companion,Hobby Japan,stormbringer_companion.jpg,supplement,149-1
,ヴェルヴェット・サークル,Velvet Circle,Hobby Japan,velvet_circle.jpg,box set,149-3
1995,エルリック！,Elric! Dark Fantasy Roleplaying,Hobby Japan,elric.jpg,rulebook,
2006,ストームブリンガー,Michael Moorcock's Stormbringer,Enterbrain,stormbringer_2006.jpeg,rulebook,
