year,japanese,english,publisher,image,product_type
1988,ファンタズム・アドベンチャー,Phantasm Adventure,Daihonkaiga,phantasm_adventure.jpg,rulebook
1990,アドバンスド・ファンタズム・アドベンチャー,Advanced Phantasm Adventure,Daihonkaiga,advanced_phantasm_adventure.jpg,rulebook
,ノーザンエリア,Northern Area: PA World Guide 1,Daihonkaiga,phantasm_adventure2.jpg,supplement
,亡霊の砦/洞窟の死神,Ghost Fortress / Cave Grim Reaper,Daihonkaiga,phantasm_adventure3.jpg,scenario
,水竜湖の暗黒城,The Black Keep of the Serpent Lake,Daihonkaiga,phantasm_adventure_1.jpg,scenario
,霧雨の島,Misty Islands,Daihonkaiga,phantasm_adventure_misty_islands.jpg,scenario
,ファンタズムクエスト,Phantasm Quest,Daihonkaiga,phantasm_quest.jpg,replay
1989,ファンタスティック・クリーチャー・ワールド ,Fantastic Creature World,Daihonkaiga,fantastic_creature_world.jpg,supplement
