year,japanese,english,publisher,image,product_type,product_code
1994,ハイパーT(トンネルズ)&T(トロールズ)ルールブック,Hyper T&T Rulebook,Kadokawa Shoten,hyper_tunnels_trolls.jpg,rulebook,805-2
1994,ドラゴンズ’ヘヴン〈1〉ハイパーT&Tリプレイ,Dragons' Heaven 1: Hyper T&T Replay,Kadokawa Shoten,dragons_heaven_1.jpg,replay,
1994,ドラゴンズ’ヘヴン〈2〉ハイパーT&Tリプレイ,Dragons' Heaven 2: Hyper T&T Replay,Kadokawa Shoten,dragons_heaven_2.jpg,replay,
1994,ドラゴンズ’ヘヴン〈3〉ハイパーT&Tリプレイ,Dragons' Heaven 3: Hyper T&T Replay,Kadokawa Shoten,dragons_heaven_3.jpg,replay,
1995,モンスター!モンスター!!,Monsters! Monsters!!,Kadokawa Shoten,monsters_monsters.jpg,rulebook,
1995,ドラゴン大陸 ハイパーT＆Tワールドガイド,Dragon Continent: Hyper T&T World Guide,Kadokawa Shoten,dragon_continent.jpg,supplement,805-5
1996,空からの落とし物―ハイパーT&Tリプレイ ,Drops from the Sky: Hyper T&T Replay,Kadokawa Shoten,drops_from_the_sky.jpg,replay,805-7
