year,japanese,english,publisher,image
1994,央華封神ルールブック〈1〉プレイヤーブック,Oka Shushin Rule Book 1: Player Book,Media Works,oka_shushin1.jpg
1994,央華封神ルールブック〈2〉ゲームマスターブック,Oka Shushin Rule Book 2: Gamemaster Book,Media Works,oka_shushin2.jpg
1995,央華封神を遊ぶ本―シナリオ&拡張データ,Oka Shushin Play Book: Scenario and Extended Data,Media Works,scenario_and_extended_data.jpg
1995,央華を渡る風―央華封神シナリオソースブック,The Wind that Crosses Oka: Oka Shushin Scenario Source Book,Media Works,scenario_source_book.jpg
1995,悪に怒りを燃やすとき!―央華封神シナリオ集,When you are angry with evil! Oka Shushin Scenario Collection,Media Works,scenario_collection.jpg
1995,妖怪どもをぶっとばせ!―央華封神リプレイ〈1〉,Blast the Monsters! Oka Shushin Replay 1,Media Works,replay1.jpg
1996,空の果てまで翔んでいけ!央華封神リプレイ〈2〉,Fly to the End of the Sky! Oka Shusin Replay 2,Media Works,replay2.jpg
