year,japanese,english,publisher,image,product_type
2011,魔道書大戦RPG　マギカロギア,Madosho Taisen RPG Magicalogia,Shinkigensha,magicalogia.jpg,rulebook
2011,幻惑のノスタルジア,Illusion Nostalgia,Shinkigensha,illusion-nostalgia.jpg,replay
2012,大夢消滅,Big Dream Disappears,Shinkigensha,big-dream-disappears.jpg,replay
2017,哲学戦線,Philosophy Front,Shinkigensha,philosophy-front.jpg,replay
2017,魔道書大戦RPG マギカロギア 基本ルールブック,Madosho Taisen RPG Magicalogia Basic Rulebook,Shinkigensha,basic-rulebook.jpg,rulebook
2017,魔道書大戦RPG マギカロギア スタートブック,Madosho Taisen RPG Magicalogia Start Book,Shinkigensha,start-book.jpg,rulebook
2018,魔道書大戦RPG マギカロギア リプレイブック,Madosho Taisen RPG Magicalogia Replay Book,Shinkigensha,replay-book.jpg,replay
2018,マギカロギア シナリオ集 黄昏選書,Magicalogia Scenario Collection Twilight Selection Book,Shinkigensha,scenario-collection.jpg,scenario
