category,product_type,japanese,english,publisher,year,product_code
crystania,replay,RPGリプレイ 傭兵伝説クリスタニア(下),RPG Replay Mercenary Legend Crystania Vol. 2,Media Works,1998,1-13
crystania,replay,RPGリプレイ 秘境伝説クリスタニア,RPG Replay Unexplored Legend Crystania,Media Works,1998,1-14
crystania,supplement,クリスタニア完全ガイドブック,Crystania Complete Guidebook,Media Works,1999,1-4
cyberpunk,rulebook,サイバーパンク2.0.2.0.,Cyberpunk 2.0.2.0,Hobby Base,1993,
cyberpunk,supplement,クロームブック,Chrome Book,Hobby Base,,
cyberpunk,supplement,サイバーパンク・スタイルガイド第2弾 クロームブック2,Chrome 2,Hobby Base,,
cyberpunk,supplement,ドラゴン・スキン・パック,Dragon Skin Pack,Hobby Base,,
cyberpunk,supplement,ナイトシティ,Night City,Hobby Base,,
cyberpunk,supplement,ニッポンソースブック,Nippon Sourcebook,Hobby Base,,
cyberpunk,supplement,レフリーズ・アクセサリィ,Referee's Accessories,Hobby Base,,
daikatugeki,box set,大活劇 江戸の始末人,Daikatugeki: Messenger of Edo,Hobby Japan,1992,No. 163
daikatugeki,supplement,桜吹雪,Sakura Fubuki,Hobby Japan,,
dark-conspiracy,box set,ダーク・コンスピラシー,Dark Conspiracy,Hobby Japan,1993,G-2100-1
dark-conspiracy,scenario,シンギング・イン・ザ・ストーム,Singing in the Stone,Hobby Japan,,G-2100-1
dengeki-adventures,periodical,Vol. 1,Vol. 1,Media Works,1994,
dengeki-adventures,periodical,Vol. 2,Vol. 2,Media Works,,
dengeki-adventures,periodical,Vol. 3,Vol. 3,Media Works,,
dengeki-adventures,periodical,Vol. 4,Vol. 4,Media Works,,
dengeki-adventures,periodical,Vol. 5,Vol. 5,Media Works,,
dengeki-adventures,periodical,Vol. 6,Vol. 6,Media Works,,
dengeki-adventures,periodical,Vol. 7,Vol. 7,Media Works,,
dengeki-adventures,periodical,Vol. 8,Vol. 8,Media Works,,
dengeki-adventures,periodical,Vol. 9,Vol. 9,Media Works,,
dengeki-adventures,periodical,Vol. 10,Vol. 10,Media Works,,
dengeki-adventures,periodical,Vol. 11,Vol. 11,Media Works,,
dengeki-adventures,periodical,Vol. 12,Vol. 12,Media Works,,
dengeki-adventures,periodical,Vol. 13,Vol. 13,Media Works,,
dengeki-adventures,periodical,Vol. 14,Vol. 14,Media Works,,
dengeki-adventures,periodical,Vol. 15,Vol. 15,Media Works,,
dengeki-adventures,periodical,Vol. 16,Vol. 16,Media Works,,
dengeki-adventures,periodical,Vol. 17,Vol. 17,Media Works,,
dengeki-adventures,periodical,Vol. 18,Vol. 18,Media Works,,
dengeki-adventures,periodical,Vol. 19,Vol. 19,Media Works,,
dengeki-adventures,periodical,Vol. 20,Vol. 20,Media Works,,
dengeki-adventures,periodical,Vol. 21,Vol. 21,Media Works,,
dengeki-adventures,periodical,Vol. 22,Vol. 22,Media Works,,
dengeki-adventures,periodical,Vol. 23,Vol. 23,Media Works,,
dengeki-adventures,periodical,Vol. 24,Vol. 24,Media Works,,
dengeki-adventures,periodical,Vol. 25,Vol. 25,Media Works,,
dengeki-adventures,periodical,Vol. 26,Vol. 26,Media Works,,
dengeki-adventures,periodical,Vol. 27,Vol. 27,Media Works,1998,
dinosaur-squadron-juuranger,rulebook,恐竜戦隊ジュウレンジャーRPG大百科,Dinosaur Squadron Juuranger RPG Encyclopedia,Keibunsha,1992,
dnd-media-works,scenario,ナイツ・ダーク・テラー,Night's Dark Terror,Media Works,1994,G-1-9
dnd-media-works,scenario,キングズ・フェスティバル,King'sFestival,Media Works,1995,G-1-4
dnd-media-works,scenario,クイーンズ・ハーベスト,Queen's Harvest,Media Works,1996,G-1-6
dnd-media-works,rulebook, ダンジョンマスターズD&Dルールサイクロペディア②,Dungeon Master's D&D Rules Cyclopedia 2,Media Works,1994,G-1-2
dnd-media-works,supplement,ダンジョン アンド ズドラゴンズ マスタースクリーン,Dungeons & Dragons Master Screen,Media Works,1994,
dnd-media-works,rulebook, モンスターズD&Dルールサイクロペディア③,Monsters D&D Rules Cyclopedia 3,Media Works,1994,G-1-3
dnd-media-works,rulebook,プレイヤーズD&Dルールサイクロペディア① ,Players' D&D Rules Cyclopedia 1,Media Works,1994,G-1-1
dnd-media-works,replay,ミスタラ黙示録 (1)―D&Dリプレイ,Mystara Apocalypse D&D Replay 1,Media Works,1995,G-1-5
dnd-media-works,replay,ミスタラ黙示録 (2)―D&Dリプレイ,Mystara Apocalypse D&D Replay 2,Media Works,1995,G-1-7
dnd-media-works,replay,ミスタラ黙示録 (3)―D&Dリプレイ,Mystara Apocalypse D&D Replay 3,Media Works,1996,G-1-8
dnd-media-works,replay,ミスタラ黙示録 (4)―D&Dリプレイ,Mystara Apocalypse D&D Replay 4,Media Works,1996,G-1-10
dnd-media-works,replay,ミスタラ黙示録 (5)―D&Dリプレイ,Mystara Apocalypse D&D Replay 5,Media Works,1997,G-1-11
dnd-media-works,replay,ダンジョンズ＆ドラゴンズ入門の書≪改訂版≫,Dungeons & Dragons Introductory Book <<Revised>>,Media Works,1993,G-5-1
dnd-shinwa,box set,セット１：ベーシックルールセット,Set 1: Basic Rules,Shinwa,1985,
dnd-shinwa,box set,セット２：エキスパートルールセット,Set 2: Expert Rules,Shinwa,1986,
dnd-shinwa,box set,セット３：コンパニオンルールセット,Set 3: Companion Rules,Shinwa,1987,
dnd-shinwa,box set,セット４：マスタールールセット,Set 4: Master Rules,Shinwa,1989,
dnd-shinwa,supplement,ベーシックビギナーズガイド,Basic Beginner's Guide,Shinwa,1987,
dnd-shinwa,supplement,エキスパートプレイングガイド1,Expert Playing Guide 1,Shinwa,1988,
dnd-shinwa,scenario,国境の城塞,Keep on the Borderlands,Shinwa,,
dnd-shinwa,scenario,アリクの瞳,Palace of the Silver Princess,Shinwa,,
dnd-shinwa,scenario,失なわれた都市,Lost City,Shinwa,,
dnd-shinwa,scenario,シュリール川を越えて～恐怖の丘へ,Horror on the Hill,Shinwa,,
dnd-shinwa,scenario,陰謀の町・スペキュラルム,Veiled Society,Shinwa,,
dnd-shinwa,scenario,ラハシア,Rahasia,Shinwa,,
dnd-shinwa,scenario,偽りの旅路,Journey to the Rock,Shinwa,,
dnd-shinwa,scenario,コードウェル城奇談,Castle Caldwell,Shinwa,,
dnd-shinwa,scenario,恐怖の島,The Isle of Dread,Shinwa,,
dnd-shinwa,scenario,アンバー家の館,Castle Amber,Shinwa,,
dnd-shinwa,scenario,ザナソンの呪い,Curse of Xanathon,Shinwa,,
dnd-shinwa,scenario,未知なる恐怖への挑戦,Master of the Desert Nomads,Shinwa,,
dnd-shinwa,scenario,死を呼ぶ神殿,Temple of Death,Shinwa,,
dnd-shinwa,scenario,スパイラルシティー,Quagmire!,Shinwa,,
dnd-shinwa,scenario,海賊都市クロン,War Rafts of Kron,Shinwa,,
dnd-shinwa,scenario,炎の島,Drums on Fire Mountain,Shinwa,,
dnd-shinwa,scenario,荒れ果てし海岸,Savage Coast,Shinwa,,
dnd-shinwa,scenario,大いなる試練,Test of the Warlords,Shinwa,,
dnd-shinwa,scenario,死者達の宴,Death's Ride,Shinwa,,
dnd-shinwa,scenario,悪魔の住む河,Saber River,Shinwa,,
dnd-shinwa,scenario,巡らされた糸,Into the Maelstrom,Shinwa,,
dnd-shinwa,scenario,ブリザード・パス,Blizzard Pass,Shinwa,,
dnd-shinwa,scenario,ザルゴンの亡霊,Ghost of Lion Castle,Shinwa,,
dnd-shinwa,scenario,ラサンの黄金,Lathan's Gold,Shinwa,,
dnd-shinwa,scenario,雷鳴山の秘宝,Thunderdelve Mountain,Shinwa,,
dnd-shinwa,supplement,カラメイコス大公国,Grand Duchy of Karameikos,Shinwa,,
dnd-shinwa,supplement,イラルアム首長国連邦,Emirates of Ylaruam,Shinwa,,
dnd-shinwa,supplement,アルフハイムのエルフ,Elves of Alfheim,Shinwa,,
dnd-shinwa,supplement,シェイディードラゴンイン,Shady Dragon Inn,Shinwa,,
dnd-shinwa,supplement,マスタースクリーン I,Combat Shield & Mini-Adventure,Shinwa,,
dnd-shinwa,supplement,マーベラスマジック,Book of Marvelous Magic,Shinwa,,
dnd-shinwa,supplement,プレイヤーキャラクターレコードシート,Character Record Sheets,Shinwa,,
dnd-shinwa,supplement,マスタースクリーンII,Master Player Screen,Shinwa,,
dnd-shinwa,supplement,モンスターマニュアル,Creature Catalog,Shinwa,,
dnd-shinwa,supplement,シナリオデザインセット,Scenario Design Set,Shinwa,1988,
dnd-shinwa,supplement,ビギナーズガイド,Beginner's Guide,Shinwa,1988,
dnd-shinwa,supplement,スペルカードI,Spell Cards I,Shinwa,1989,
dnd-shinwa,supplement,スペルカードII,Spell Cards II,Shinwa,1989,
dnd-shinwa,supplement,ビジュアルガイド,Visual Guide,Shinwa,1989,
dnd-shinwa,supplement,レスキューガイド,Rescue Guide,Shinwa,1989,
dnd-shinwa,supplement,スペルカードIII,Spell Cards III,Shinwa,1989,
dnd-shinwa,supplement,スペルカードIV,Spell Cards IV,Shinwa,1989,
dnd-shinwa,supplement,プレイヤーキャラクターサブシート,Player Character Sub-sheet,Shinwa,1989,
dnd-shinwa,supplement,スペルカードV,Spell Cards V,Shinwa,1989,
dnd-shinwa,supplement,スペルカードVI,Spell Cards VI,Shinwa,1989,
dnd-shinwa,supplement,NPCカード,NPC Cards,Shinwa,1990,
dnd-shinwa,supplement,モンスターアソートメント,Monster Assortment,Shinwa,1991,
double-moon-legend,rulebook,ダブルムーン伝説 TRPGスプリメントブック,Double Moon Legend TRPG System Book,Kadokawa Shoten,1991,
double-moon-legend,supplement,ダブルムーン伝説システムブック,Double Moon Legend Supplement Book,Kadokawa Shoten,1992,
down-the-world,rulebook,ダウン・ザ・ワールド,Down the World,Aspect,1994,
dragon-fujimi,periodical,1988/3,,Fujimi Shobo,1988,
dragon-fujimi,periodical,1988/4,,Fujimi Shobo,1988,
dragon-fujimi,periodical,1988/5,,Fujimi Shobo,1988,
dragon-fujimi,periodical,1988/6,,Fujimi Shobo,1988,
dragon-fujimi,periodical,1988/7,,Fujimi Shobo,1988,
dragon-fujimi,periodical,1988/8,,Fujimi Shobo,1988,
dragon-fujimi,periodical,1988/9,,Fujimi Shobo,1988,
dragon-fujimi,periodical,1988/10,,Fujimi Shobo,1988,
dragon-fujimi,periodical,1988/11,,Fujimi Shobo,1988,
dragon-fujimi,periodical,1988/12,,Fujimi Shobo,1988,
dragon-fujimi,periodical,1989/1,,Fujimi Shobo,1989,
dragon-fujimi,periodical,1989/2,,Fujimi Shobo,1989,
dragon-fujimi,periodical,1989/3,,Fujimi Shobo,1989,
dragon-fujimi,periodical,1989/4,,Fujimi Shobo,1989,
dragon-fujimi,periodical,1989/5,,Fujimi Shobo,1989,
dragon-fujimi,periodical,1989/6,,Fujimi Shobo,1989,
dragon-fujimi,periodical,1989/7,,Fujimi Shobo,1989,
dragon-fujimi,periodical,1989/8,,Fujimi Shobo,1989,
dragon-fujimi,periodical,1989/9,,Fujimi Shobo,1989,
dragon-fujimi,periodical,1989/10,,Fujimi Shobo,1989,
dragon-fujimi,periodical,1989/11,,Fujimi Shobo,1989,
dragon-fujimi,periodical,1989/12,,Fujimi Shobo,1989,
dragon-fujimi,periodical,1990/1,,Fujimi Shobo,1990,
dragon-fujimi,periodical,1990/2,,Fujimi Shobo,1990,
dragon-fujimi,periodical,1990/3,,Fujimi Shobo,1990,
dragon-fujimi,periodical,1990/4,,Fujimi Shobo,1990,
dragon-fujimi,periodical,1990/5,,Fujimi Shobo,1990,
dragon-fujimi,periodical,1990/6,,Fujimi Shobo,1990,
dragon-fujimi,periodical,1990/7,,Fujimi Shobo,1990,
dragon-fujimi,periodical,1990/8,,Fujimi Shobo,1990,
dragon-fujimi,periodical,1990/9,,Fujimi Shobo,1990,
dragon-fujimi,periodical,1990/10,,Fujimi Shobo,1990,
dragon-fujimi,periodical,1990/11,,Fujimi Shobo,1990,
dragon-fujimi,periodical,1990/12,,Fujimi Shobo,1990,
dragon-fujimi,periodical,1991/1,,Fujimi Shobo,1991,
dragon-fujimi,periodical,1991/2,,Fujimi Shobo,1991,
dragon-fujimi,periodical,1991/3,,Fujimi Shobo,1991,
dragon-fujimi,periodical,1991/4,,Fujimi Shobo,1991,
dragon-fujimi,periodical,1991/5,,Fujimi Shobo,1991,
dragon-fujimi,periodical,1991/6,,Fujimi Shobo,1991,
dragon-fujimi,periodical,1991/7,,Fujimi Shobo,1991,
dragon-fujimi,periodical,1991/8,,Fujimi Shobo,1991,
dragon-fujimi,periodical,1991/9,,Fujimi Shobo,1991,
dragon-fujimi,periodical,1991/10,,Fujimi Shobo,1991,
dragon-fujimi,periodical,1991/11,,Fujimi Shobo,1991,
dragon-fujimi,periodical,1991/12,,Fujimi Shobo,1991,
dragon-fujimi,periodical,1992/1,,Fujimi Shobo,1992,
dragon-fujimi,periodical,1992/2,,Fujimi Shobo,1992,
dragon-fujimi,periodical,1992/3,,Fujimi Shobo,1992,
dragon-fujimi,periodical,1992/4,,Fujimi Shobo,1992,
dragon-fujimi,periodical,1992/5,,Fujimi Shobo,1992,
dragon-fujimi,periodical,1992/6,,Fujimi Shobo,1992,
dragon-fujimi,periodical,1992/7,,Fujimi Shobo,1992,
dragon-fujimi,periodical,1992/8,,Fujimi Shobo,1992,
dragon-fujimi,periodical,1992/9,,Fujimi Shobo,1992,
dragon-fujimi,periodical,1992/10,,Fujimi Shobo,1992,
dragon-fujimi,periodical,1992/11,,Fujimi Shobo,1992,
dragon-fujimi,periodical,1992/12,,Fujimi Shobo,1992,
dragon-fujimi,periodical,1993/1,,Fujimi Shobo,1993,
dragon-fujimi,periodical,1993/2,,Fujimi Shobo,1993,
dragon-fujimi,periodical,1993/3,,Fujimi Shobo,1993,
dragon-fujimi,periodical,1993/4,,Fujimi Shobo,1993,
dragon-fujimi,periodical,1993/5,,Fujimi Shobo,1993,
dragon-fujimi,periodical,1993/6,,Fujimi Shobo,1993,
dragon-fujimi,periodical,1993/7,,Fujimi Shobo,1993,
dragon-fujimi,periodical,1993/8,,Fujimi Shobo,1993,
dragon-fujimi,periodical,1993/9,,Fujimi Shobo,1993,
dragon-fujimi,periodical,1993/10,,Fujimi Shobo,1993,
dragon-fujimi,periodical,1993/11,,Fujimi Shobo,1993,
dragon-fujimi,periodical,1993/12,,Fujimi Shobo,1993,
dragon-fujimi,periodical,1994/1,,Fujimi Shobo,1994,
dragon-fujimi,periodical,1994/2,,Fujimi Shobo,1994,
dragon-fujimi,periodical,1994/3,,Fujimi Shobo,1994,
dragon-fujimi,periodical,1994/4,,Fujimi Shobo,1994,
dragon-fujimi,periodical,1994/5,,Fujimi Shobo,1994,
dragon-fujimi,periodical,1994/6,,Fujimi Shobo,1994,
dragon-fujimi,periodical,1994/7,,Fujimi Shobo,1994,
dragon-fujimi,periodical,1994/8,,Fujimi Shobo,1994,
dragon-fujimi,periodical,1994/9,,Fujimi Shobo,1994,
dragon-fujimi,periodical,1994/10,,Fujimi Shobo,1994,
dragon-fujimi,periodical,1994/11,,Fujimi Shobo,1994,
dragon-fujimi,periodical,1994/12,,Fujimi Shobo,1994,
dragon-fujimi,periodical,1995/1,,Fujimi Shobo,1995,
dragon-fujimi,periodical,1995/2,,Fujimi Shobo,1995,
dragon-fujimi,periodical,1995/3,,Fujimi Shobo,1995,
dragon-fujimi,periodical,1995/4,,Fujimi Shobo,1995,
dragon-fujimi,periodical,1995/5,,Fujimi Shobo,1995,
dragon-fujimi,periodical,1995/6,,Fujimi Shobo,1995,
dragon-fujimi,periodical,1995/7,,Fujimi Shobo,1995,
dragon-fujimi,periodical,1995/8,,Fujimi Shobo,1995,
dragon-fujimi,periodical,1995/9,,Fujimi Shobo,1995,
dragon-fujimi,periodical,1995/10,,Fujimi Shobo,1995,
dragon-fujimi,periodical,1995/11,,Fujimi Shobo,1995,
dragon-fujimi,periodical,1995/12,,Fujimi Shobo,1995,
dragon-fujimi,periodical,1996/1,,Fujimi Shobo,1996,
dragon-fujimi,periodical,1996/2,,Fujimi Shobo,1996,
dragon-fujimi,periodical,1996/3,,Fujimi Shobo,1996,
dragon-fujimi,periodical,1996/4,,Fujimi Shobo,1996,
dragon-fujimi,periodical,1996/5,,Fujimi Shobo,1996,
dragon-fujimi,periodical,1996/6,,Fujimi Shobo,1996,
dragon-fujimi,periodical,1996/7,,Fujimi Shobo,1996,
dragon-fujimi,periodical,1996/8,,Fujimi Shobo,1996,
dragon-fujimi,periodical,1996/9,,Fujimi Shobo,1996,
dragon-fujimi,periodical,1996/10,,Fujimi Shobo,1996,
dragon-fujimi,periodical,1996/11,,Fujimi Shobo,1996,
dragon-fujimi,periodical,1996/12,,Fujimi Shobo,1996,
dragon-fujimi,periodical,1997/1,,Fujimi Shobo,1997,
dragon-fujimi,periodical,1997/2,,Fujimi Shobo,1997,
dragon-fujimi,periodical,1997/3,,Fujimi Shobo,1997,
dragon-fujimi,periodical,1997/4,,Fujimi Shobo,1997,
dragon-fujimi,periodical,1997/5,,Fujimi Shobo,1997,
dragon-fujimi,periodical,1997/6,,Fujimi Shobo,1997,
dragon-fujimi,periodical,1997/7,,Fujimi Shobo,1997,
dragon-fujimi,periodical,1997/8,,Fujimi Shobo,1997,
dragon-fujimi,periodical,1997/9,,Fujimi Shobo,1997,
dragon-fujimi,periodical,1997/10,,Fujimi Shobo,1997,
dragon-fujimi,periodical,1997/11,,Fujimi Shobo,1997,
dragon-fujimi,periodical,1997/12,,Fujimi Shobo,1997,
dragon-fujimi,periodical,1998/1,,Fujimi Shobo,1998,
dragon-fujimi,periodical,1998/2,,Fujimi Shobo,1998,
dragon-fujimi,periodical,1998/3,,Fujimi Shobo,1998,
dragon-fujimi,periodical,1998/4,,Fujimi Shobo,1998,
dragon-fujimi,periodical,1998/5,,Fujimi Shobo,1998,
dragon-fujimi,periodical,1998/6,,Fujimi Shobo,1998,
dragon-fujimi,periodical,1998/7,,Fujimi Shobo,1998,
dragon-fujimi,periodical,1998/8,,Fujimi Shobo,1998,
dragon-fujimi,periodical,1998/9,,Fujimi Shobo,1998,
dragon-fujimi,periodical,1998/10,,Fujimi Shobo,1998,
dragon-fujimi,periodical,1998/11,,Fujimi Shobo,1998,
dragon-fujimi,periodical,1998/12,,Fujimi Shobo,1998,
dragon-fujimi,periodical,1999/1,,Fujimi Shobo,1999,
dragon-fujimi,periodical,1999/2,,Fujimi Shobo,1999,
dragon-fujimi,periodical,1999/3,,Fujimi Shobo,1999,
dragon-fujimi,periodical,1999/4,,Fujimi Shobo,1999,
dragon-fujimi,periodical,1999/5,,Fujimi Shobo,1999,
dragon-fujimi,periodical,1999/6,,Fujimi Shobo,1999,
dragon-fujimi,periodical,1999/7,,Fujimi Shobo,1999,
dragon-fujimi,periodical,1999/8,,Fujimi Shobo,1999,
dragon-fujimi,periodical,1999/9,,Fujimi Shobo,1999,
dragon-fujimi,periodical,1999/10,,Fujimi Shobo,1999,
dragon-fujimi,periodical,1999/11,,Fujimi Shobo,1999,
dragon-fujimi,periodical,1999/12,,Fujimi Shobo,1999,
dragon-fujimi,periodical,2000/1,,Fujimi Shobo,2000,
dragon-fujimi,periodical,2000/2,,Fujimi Shobo,2000,
dragon-fujimi,periodical,2000/3,,Fujimi Shobo,2000,
dragon-fujimi,periodical,2000/4,,Fujimi Shobo,2000,
dragon-fujimi,periodical,2000/5,,Fujimi Shobo,2000,
dragon-fujimi,periodical,2000/6,,Fujimi Shobo,2000,
dragon-fujimi,periodical,2000/7,,Fujimi Shobo,2000,
dragon-fujimi,periodical,2000/8,,Fujimi Shobo,2000,
dragon-fujimi,periodical,2000/9,,Fujimi Shobo,2000,
dragon-fujimi,periodical,2000/10,,Fujimi Shobo,2000,
dragon-fujimi,periodical,2000/11,,Fujimi Shobo,2000,
dragon-fujimi,periodical,2000/12,,Fujimi Shobo,2000,
dragon-half,rulebook,ドラゴンハーフRPG,Dragon Half RPG,Fujimi Shobo,1991,
dragon-half,scenario,ドラゴンハーフRPGシナリオ集1　笑いの迷宮,Dragon Half RPG Scenario Collection 1: Labyrinth of Laughter,Fujimi Shobo,1992,
dragon-half,scenario,ドラゴンハーフRPGシナリオ集2　笑いの探索,Dragon Half RPG Scenario Collection 2: Search for Laughter,Fujimi Shobo,1992,
dragon-ring,rulebook,ドラゴンリング,Dragon Ring,Shinkigensha,1989,
dragon-shinwa,periodical,ドラゴン  マガジン  Vol. 1,Dragon Magazine Vol. 1,Shinwa,1986,
dragon-shinwa,periodical,ドラゴン  マガジン  Vol. 2,Dragon Magazine Vol. 2,Shinwa,1986,
dragon-shinwa,periodical,ドラゴン  マガジン  Vol. 3,Dragon Magazine Vol. 3,Shinwa,1987,
dragon-shinwa,periodical,ファンタジィ  ゲーマーズ  ジャーナル  Vol. 3,Fantasy Gamers' Journal Vol. 3,Shinwa,1987,
dragon-shinwa,periodical,ドラゴン  マガジン  Vol. 4,Dragon Magazine Vol. 4,Shinwa,1987,
dragon-shinwa,periodical,ファンタジィ  ゲーマーズ  ジャーナル  Vol. 4,Fantasy Gamers' Journal Vol. 4,Shinwa,1987,
dragon-shinwa,periodical,ファンタジィ  ゲーマーズ  ジャーナル  Vol. 5,Fantasy Gamers' Journal Vol. 5,Shinwa,1987,
dragon-shinwa,periodical,ファンタジィ  ゲーマーズ  ジャーナル  Vol. 6,Fantasy Gamers' Journal Vol. 6,Shinwa,1987,
dragon-shinwa,periodical,ファンタジィ  ゲーマーズ  ジャーナル  Vol. 7,Fantasy Gamers' Journal Vol. 7,Shinwa,1988,
earthdawn,rulebook,アースドーンルールブック,Earthdawn Rulebook,Media Works,1997,
earthdawn,scenario,ミスト・オブ・ビトレイアル,Mists of Betrayal,Media Works,1998,
earthdawn,scenario,シャタード・パターン,Shattered Pattern,Media Works,1998,
earthdawn,supplement,バーセイヴ,Barsaive,Media Works,1999,
el-genesis,box set,創聖記エルジェネシス2 ZWEI,Arena of Destiny,Game Field,1999,
el-genesis,box set,創聖記エルジェネシス,El Genesis,Game Field,1996,
el-genesis,box set,学園戦国エルジェネシス,School Civil War: El Genesis,Game Field,1998,
el-genesis,box set,神世紀エルジェネシス,Divine Era: El Genesis,Game Field,1997,
el-genesis,box set,ナイト・オブ・ソフィア,The Knights of Sophia,Game Field,,
el-genesis,box set,シャドウ・オブ・プリンセス,The Shadow of Princess,Game Field,,
el-genesis,box set,ソード・オブ・グラーヴ,Sword of Gurahve,Game Field,,
enterprise,box set,エンタープライズ,Enterprise: Role Play Game in Star Trek,Tsukuda Hobby,1983,
fantasy-file,supplement,モンスター・コレクション,Monster Collection,Fujimi Shobo,1986,7-1
fantasy-file,replay,D&Dがよくわかる本,D&D Understand Well Book,Fujimi Shobo,1987,7-2
fantasy-file,supplement,ホラー・コレクション,Horror Collection,Fujimi Shobo,1987,7-3
fantasy-file,supplement,スペル・コレクション,Spell Collection,Fujimi Shobo,1988,7-4
fantasy-file,supplement,アイテム・コレクション,Item Collection,Fujimi Shobo,1988,7-5
fantasy-file,supplement,トラップ・コレクション,Trap Collection,Fujimi Shobo,1989,7-6
fantasy-file,supplement,クロちゃんのRPG見聞録,Kuro's RPG: Kenbunroku,Fujimi Shobo,1989,7-7
fantasy-file,supplement,クロちゃんのRPG千夜一夜〈1〉,Kuro's RPG: 1001 Nights 1,Fujimi Shobo,1989,7-8
fantasy-file,supplement,ファンタジーRPGクイズ,Fantasy RPG Quiz,Fujimi Shobo,1989,7-9
fantasy-file,supplement,クロちゃんのRPG千夜一夜〈2〉,Kuro's RPG: 1001 Nights 2,Fujimi Shobo,1990,7-10
fantasy-file,supplement,キャラクター・コレクション(上),Character Collection 1,Fujimi Shobo,1991,7-11
fantasy-file,supplement,キャラクター・コレクション(下),Character Collection 2,Fujimi Shobo,1991,7-12
fantasy-file,replay,ワースブレイドがよくわかる本,Wares Blade Understand Well Book,Fujimi Shobo,1992,7-13
fantasy-file,supplement,クロちゃんのRPG千夜一夜〈3〉,Kuro's RPG: 1001 Nights 3,Fujimi Shobo,1991,7-14
fantasy-file,supplement,ファンタジーRPGクイズ2,Fantasy RPG Quiz 2,Fujimi Shobo,1993,7-15
fantasy-file,supplement,ファンタジーRPG100の常識,100 Common Sense Fantasy RPG Practices,Fujimi Shobo,1992,7-16
fantasy-file,supplement,シティ・コレクション(上),City Collection 1,Fujimi Shobo,1993,7-17
fantasy-file,supplement,シティ・コレクション(下),City Collection 2,Fujimi Shobo,1993,7-18
fantasy-file,supplement,やっぱりRPGが好き！,I Really Like RPGs,Fujimi Shobo,1992,7-19
fantasy-file,replay,ブルーフォレスト物語がよくわかる本,Blue Forest Story Understand Well Book,Fujimi Shobo,1993,7-20
fantasy-file,replay,バトルテックがよくわかる本,Battletech Understand Well Book,Fujimi Shobo,1993,7-21
fantasy-file,supplement,ダンジョン・シネマティーク,Dungeon Cinematic,Fujimi Shobo,1993,7-22
fantasy-file,supplement,実践！RPGゲームマスター道,Pratice! The RPG Gamemaster Way,Fujimi Shobo,1993,7-23
fantasy-file,supplement,クロちゃんのRPG千夜一夜〈4〉,Kuro's RPG: 1001 Nights 4,Fujimi Shobo,1993,7-24
fantasy-file,supplement,ファンタジーRPGクイズ3,Fantasy RPG Quiz 3,Fujimi Shobo,1993,7-25
fantasy-file,supplement,それでもRPGが好き! ,But I Still Like RPGs,Fujimi Shobo,1993,7-26
fantasy-file,supplement,ファンタジーRPGの宝物が100!,100 Fantasy RPG Treasures!,Fujimi Shobo,1994,7-27
fantasy-file,supplement,シャドウランがよくわかる本,Shadowrun Understand Well Book,Fujimi Shobo,1994,7-28
fantasy-file,supplement,ファンタジーRPGクイズ4,Fantasy RPG Quiz 4,Fujimi Shobo,1994,7-29
fantasy-file,supplement,ファンタジーRPG100の常識 (アイテム編),100 Coomon Sense Fantasy RPG Practices (Items Edition),Fujimi Shobo,1994,7-30
fantasy-file,supplement,RPGマスターらくらく読本,RPG Master Easy Reader,Fujimi Shobo,1995,7-31
fantasy-file,supplement,女の子だってRPGしたいんだもん,Girls Want to Play RPGs Too,Fujimi Shobo,1995,7-32
fantasy-file,supplement,モンスター・コレクション〈上〉,Monster Collection 1,Fujimi Shobo,1996,7-33
fantasy-file,supplement,モンスター・コレクション 改訂版〈中〉,Monster Collection 2,Fujimi Shobo,1996,7-34
fantasy-file,supplement,モンスター・コレクション改訂版〈下〉,Monster Coillection 3,Fujimi Shobo,1996,7-35
fantasy-file,supplement,ゲームのタネ,Game Seeds,Fujimi Shobo,1995,7-36
fantasy-file,supplement,RPG用誤辞典,RPG Mistake Dictionary ,Fujimi Shobo,1997,7-37
fantasy-file,supplement,TOKYO EYE‐SHOT シャドウランシティファイル,Tokyo Eye Shot: Shadowrun City File,Fujimi Shobo,1995,
fighting-fantasy,gamebook,火吹山の魔法使い,The Warlock of Firetop Mountain,Shakaishisosha,1984,
fighting-fantasy,gamebook,バルサスの要塞,The Citadel of Chaos,Shakaishisosha,1985,
fighting-fantasy,gamebook,運命の森,The Forest of Doom,Shakaishisosha,1985,
fighting-fantasy,gamebook,さまよえる宇宙船,Starship Traveller,Shakaishisosha,1985,
fighting-fantasy,gamebook,盗賊都市,City of Thieves,Shakaishisosha,1985,
fighting-fantasy,gamebook,死のワナの地下迷宮,Deathtrap Dungeon,Shakaishisosha,1985,
fighting-fantasy,gamebook,トカゲ王の島,Island of the Lizard King,Shakaishisosha,1985,
fighting-fantasy,gamebook,サソリ沼の迷路,Scorpion Swamp,Shakaishisosha,1986,
fighting-fantasy,gamebook,雪の魔女の洞窟,Caverns of the Snow Witch,Shakaishisosha,1986,
fighting-fantasy,gamebook,地獄の館,House of Hell,Shakaishisosha,1986,
fighting-fantasy,gamebook,死神の首飾り,Talisman of Death,Shakaishisosha,1986,
fighting-fantasy,gamebook,宇宙の暗殺者,Space Assassin,Shakaishisosha,1986,
