category,product_type,japanese,english,publisher,year,product_code
adventure-game-book,gamebook,ダーティペア―ヴァッサーインゼルの大追跡,Dirty Pair: Great Track of Wasser Insel,Fujimi Shobo,1987,8-4
adventure-game-book,gamebook,戦え！！イクサー１ クトゥルフの逆襲,Fight! Ixar-1: Cthulhu's Counterattack,Fujimi Shobo,1987,
adventure-game-book,slipcase set,魔術師の挑戦 デュエル・マスター,Magician's Challenge: Duel Master,Fujimi Shobo,1989,3-1
adventure-game-book,gamebook,地下迷宮ゴルギアス メイズ・ファイト！①,Underground Labyrinth: Gorgias Maze Fight,Fujimi Shobo,1991,
adventure-hero-books,gamebook,ドルアーガの塔 外伝,Druaga Tower Side Story,Keibunsha,1985,
adventure-hero-books,gamebook,チャレンジャー秘宝よ永遠に! ,Challenger Treasure Forever!,Keibunsha,1986,
adventure-hero-books,gamebook,機動戦士ガンダム 最期の赤い彗星,Mobile Suit Gundam: The Last Red Comet,Keibunsha,1986,
adventure-hero-books,gamebook,影の伝説 魔神バラコンダの謎,The Legend of Shadow: The Mystery of the Demon Baraconda,Keibunsha,1986,
adventure-hero-books,gamebook,スーパーマリオブラザーズ外伝,Super Mario Bros Side Story,Keibunsha,1986,
adventure-hero-books,gamebook,機動戦士ガンダム灼熱の追撃,Mobile Suit Gundam: Burning Pursuit,Keibunsha,1986,
adventure-hero-books,gamebook, ソロモンの鍵外伝,Solomon's Key Side Story,Keibunsha,1986,
adventure-hero-books,gamebook,スーパーマリオブラザーズ外伝 2,Super Mario Bros Side Story 2,Keibunsha,1986,
adventure-hero-books,gamebook,ガルフォース忘却の惑星,Gall Force: Oblivion Planet,Keibunsha,1986,
adventure-hero-books,gamebook,リンクの冒険 ハイラル英雄伝説,Link Adventure: Legend of Hyrule Heroes,Keibunsha,1987,
adventure-hero-books,gamebook,スーパースターフォース,Super Star Force,Keibunsha,1987,
adventure-hero-books,gamebook,ディーヴァ女戦士ミリスの挑戦,Divas Warrior: Miri's Challenge,Keibunsha,1987,
adventure-hero-books,gamebook, 新ゼルダの伝説,The Legend of New Zelda,Keibunsha,1987,
adventure-hero-books,gamebook,暗黒の妖魔惑星,Dark Demon Planet,Keibunsha,1987,
adventure-hero-books,gamebook,レリクス闇からの侵略者,Relics Invaders from the Dark,Keibunsha,1987,
adventure-hero-books,gamebook,機動戦士Zガンダム ジェリド出撃命令,Mobile Suit Z Gundam: Jerid Order,Keibunsha,1987,
adventure-hero-books,gamebook,魔鐘ルーバス復活の陰謀,The Conspiracy of Resurrection,Keibunsha,1987,
adventure-hero-books,gamebook,宇宙刑事シャイダー―挑戦者時空を越えて,Space Sheriff Scheider-Beyond Challenger Space-Time,Keibunsha,1987,
adventure-hero-books,gamebook,メルヘンヴェール妖怪バーニバオの謎,Fairy Tale Veil Ghost Bernibao Mystery,Keibunsha,1987,
adventure-hero-books,gamebook,アルゴスの戦士外伝聖戦士誕生,Argos Warrior Side Story: Holy Warrior is Born,Keibunsha,1987,
adventure-hero-books,gamebook,禁断の黙示録クリスタルトライアングル,Forbidden Apocalypse Crystal Triangle,Keibunsha,1987,
adventure-hero-books,gamebook,ディープダンジョン ルウの遺産,Legacy of Deep Dungeon Lou,Keibunsha,1987,
adventure-hero-books,gamebook,アテナ幻想界の大妖魔,Athena: The Great Demon of Fantasy,Keibunsha,1987,
adventure-hero-books,gamebook,愛戦士ニコル―宇宙の絆,Love Warrior Nicole: The Bond of the Universe,Keibunsha,1987,
