year,japanese,english,publisher,image,product_type
1992,モンスターメーカーRPGホリィアックス,Monster Maker RPG Holy Axe,Fujimi Shobo,monster_maker_rpg_holy_axe.jpg,rulebook
1993,ブルガンディ・ドリーム　モンスターメーカーRPG,Burgundy Dream: Monster Maker RPG,Fujimi Shobo,monster_maker_burgundy_dream.jpg,supplement
1993,テン・ダンジョン　モンスターメーカーRPGシナリオ集1,Ten Dungeons: Monster Maker RPG Scenario Collection 1,Fujimi Shobo,monstermaker3.jpeg,scenario
1993,ウルフレンドの冒険者　モンスターメーカーRPGリプレイ集1,Adventurer of Wolfriend: Monster Maker RPG Replay Collection 1,Fujimi Shobo,monstermaker2.jpg,replay
