year,japanese,english,publisher,image,product_type
1991,ウィッチクエスト　小さな魔女エディス上卷,Witch Quest: Little Witch Edith Vol 1,Adventure Planning Bureau,witchquest.jpg,rulebook
1991,ウィッチクエスト　小さな魔女エディス下卷,Witch Quest: Little Witch Edith Vol 2,Adventure Planning Bureau,witchquest3.jpg,replay
1991,ウィッチクエスト２　エディスと猫のいない街上卷,Witch Quest 2: City Without Edith and the Cat Vol 1,Adventure Planning Bureau,witchquest4.jpg,supplement
1991,ウィッチクエスト２　エディスと猫のいない街下卷,Witch Quest 2: City Without Edith and the Cat Vol 2,Adventure Planning Bureau,witchquest2.jpg,replay
2001,ウィッチクエスト再編集版,Witch Quest Re-edited Version,Adventure Planning Bureau,slipcase_2001.jpg,slipcase set
