year,japanese,english,publisher,image,product_type
2015,チャレンジガールズ,Challenge Girls,Shinkigensha,challenge_girls.jpg,replay
2015,ロードトゥプリンス,Road to Prince,Shinkigensha,road_to_prince.jpg,replay
2015,ハートステップ,Heart Step,Shinkigensha,heart_step.jpg,supplement
2016,フォーチュンスターズ,Fortune Stars,Shinkigensha,fortune_stars.jpg,supplement
2017,ビギニングロード,Beginning Road,Shinkigensha,beginning_road.jpg,supplement
2022,駆け出しアイドルRPG ビギニングアイドル 基本ルールブック,Fledgling Idol RPG Beginning Idol: Basic Rulebook,Shinkigensha,rulebook.jpg,rulebook
