year,japanese,english,publisher,image,product_type
2019,異世界転生RPG サンサーラ・バラッド 基本ルールブック,Reincarnation RPG Sansara Ballad: Basic Rulebook,Shinkigensha,sansara_ballad.jpg,rulebook
2019,異世界転生RPG サンサーラ・バラッド プレイヤーズルールブック ,Reincarnation RPG Sansara Ballad: Players Rulebook,Shinkigensha,players_rulebook.jpg,rulebook
2020,サンサーラ・バラッド 拡張ルールブック アヴァターラ・サーガ,Sansara Ballad Expansion Rulebook: Avatara Saga,Shinkigensha,avatara_saga.jpg,supplement
2021,サンサーラ・バラッド 拡張ルールブック アーケイン・ヒーローズ,Sansara Ballad Extended Rulebook: Arcane Heroes,Shinkigensha,arcane_heroes.jpg,supplement
